categories,subcateories,apps
Multimedia,Graphic & Design,Xara Designer Pro
Multimedia,Graphic & Design,Free Reverse GIF Maker
Games,Utilities,Wolfenstein: Enemy Territory
Games,Racing,F1 2012
Games,Role Playing,Scions of Fate Demo
Games,Sports,Soccer Manager 2018 Varies with device
Games,Adventure,Journey
Games,Action,Watch Dogs: Legion
Personalization,Wallpaper,WireChanger
Multimedia,Burning,Sateira CD&DVD Burner
Games,Strategy,Angry Birds 1
Multimedia,Photography,Pictomio
Utilities & Tools,Screen Capture,WinSnap
Games,Role Playing,2Moons
Games,Strategy,Agrar Simulator 2012
Multimedia,Burning,DeepBurner Portable
Games,Strategy,Plague Inc.
Development & IT,Backup & Cloud Storage,Second Copy
Personalization,Screen Savers,gPhotoShow
Personalization,Screen Savers,Free Screensavers Package
Games,Adventure,Granny in Paradise
Multimedia,Audio,iRinger
Games,Arcade,S-Tris 2
Multimedia,Video,Corel VideoStudio Pro x9
Browsers,Add-ons & Tools,Alienforce
Business & Productivity,Agenda & Calendars,ErgoNotes
Development & IT,Networking,Click&Clean
Security & Privacy,Antivirus,F-Prot Antivirus for Windows
Utilities & Tools,Screen Capture,MSN Webcam Recorder
Games,Role Playing,Shaiya Phoenix
Personalization,Wallpaper,Think Halloween Wallpaper
Social & Communication,Chat & Instant Messaging,SSuite UltraCam Video Phone
Games,Adventure,Rayman Legends
Development & IT,Networking,OmniPeek Network Analyzer
Multimedia,Video,AMPlayer
Browsers,Web browsers,Comodo Dragon
Games,Sports,Football Challenge 2009
Games,Adventure,Bubble Bobble Nostalgie
Multimedia,Graphic & Design,PaintStar
Games,Board,Pawn
Internet & Network,File Sharing & Peer to Peer,PeerBlock
Personalization,Themes,NASA Hidden Universe
Development & IT,Networking,Wireshark
Security & Privacy,Anti-Spam & Anti-Spy,Spamihilator
Games,Sports,LitePool
Games,Utilities,BattleStation: Midway Mission Pack
Browsers,Web browsers,CCleaner Browser
Games,Action,Transformers The Game
Games,Strategy,Kingdom Rush Frontiers 2016
Personalization,Screen Savers,Rainy Screensaver
Multimedia,Video,"Loom - Video Recorder: Screen, Webcam and Mic varies-with-device"
Security & Privacy,VPN,ZenMate VPN
Games,Adventure,The Awesome Adventures of Captain Spirit varies-with-device
Personalization,Screen Savers,Vina Digital Talking Parrot
Games,Role Playing,Cabal Online: The Revolution of Action
Games,Adventure,Temtem varies-with-device
Security & Privacy,Password management,PINs
Games,Racing,MotoGP™19 varies-with-device
Internet & Network,File Sharing & Peer to Peer,eMule Pluse
Multimedia,Audio,Kontakt 5 Player
Multimedia,Photography,RECOIL
Multimedia,Graphic & Design,Terragen
Security & Privacy,Antivirus,Emsisoft Emergency Kit
Multimedia,Graphic & Design,DrawPad Graphics Editor
Multimedia,Audio,Mixcraft Build 469
Business & Productivity,Office Suites,Free DocX Viewer 1
Multimedia,Video,Format Factory Portable
Personalization,Screen Savers,National Geographic Extreme Earth Screensaver
Development & IT,Remote control,Instant Housecall
Internet & Network,File Sharing & Peer to Peer,Transporter P2P
Multimedia,Video,MPEG Streamclip
Games,Puzzle,Barrel Mania
Development & IT,Networking,AccessDiver
Multimedia,Graphic & Design,Plugin Commander
Games,Puzzle,Big Island Blends
Games,Adventure,OddWorld: Abe's Oddysee
Games,Utilities,Gens
Multimedia,Graphic & Design,EasyChat for Telegram Varies with device
Games,Strategy,Ice Age Adventures for Windows 10
Games,Racing,City Bus Simulator 2010
